                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9701,                 1.5386,                 1.1865,                0.65734,                0.55265,                0.58177,                0.27219,                 1.6605,                 1.5132,                 1.2783,              0.0033147,              0.0033147,              0.0033147
                      2,                 1.7721,                 1.0748,                 1.0914,                0.61923,                0.58708,                0.62046,                0.35522,                 1.3457,                 1.2269,                 1.0824,              0.0066349,              0.0066349,              0.0066349
                      3,                 1.7932,                 1.0784,                  1.079,                0.68218,                0.61756,                0.65307,                0.36071,                  1.395,                 1.2045,                 1.1027,              0.0099419,              0.0099419,              0.0099419
                      4,                 1.7947,                 1.0625,                 1.0881,                0.68535,                0.62887,                0.65819,                0.36862,                 1.3619,                 1.0685,                 1.0923,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7705,                 1.0263,                 1.0816,                0.64657,                0.58868,                0.61451,                 0.3509,                 1.4048,                 1.3842,                  1.109,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.7531,                 0.9954,                 1.0681,                  0.734,                0.58754,                0.64601,                0.36864,                 1.3812,                 1.0416,                 1.1069,               0.009901,               0.009901,               0.009901
                      7,                 1.7397,                0.98814,                 1.0588,                0.68738,                0.59889,                0.61813,                0.34762,                 1.4186,                 1.3211,                 1.1055,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6983,                0.94932,                 1.0531,                0.73474,                0.61884,                0.68724,                0.39189,                 1.3832,                0.98608,                 1.0888,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6958,                0.93666,                 1.0467,                0.73684,                0.62679,                0.70212,                0.39677,                  1.363,                0.99834,                 1.0972,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6886,                0.93407,                 1.0503,                 0.7175,                 0.6234,                0.67192,                0.38533,                 1.3709,                 1.0493,                 1.0944,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6662,                0.91922,                 1.0346,                0.76521,                0.63976,                0.72255,                0.41768,                 1.3646,                0.95017,                 1.0933,               0.009802,               0.009802,               0.009802
                     12,                 1.6585,                0.90128,                 1.0399,                0.71832,                0.63179,                0.66374,                 0.3745,                 1.4016,                  1.192,                 1.1105,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6468,                0.89807,                 1.0381,                0.74464,                0.66093,                0.73148,                  0.417,                 1.3484,                 1.0022,                 1.1047,              0.0097624,              0.0097624,              0.0097624
                     14,                  1.625,                0.88109,                 1.0332,                0.74213,                0.65797,                0.71042,                0.40351,                 1.3508,                 1.0084,                 1.0894,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6284,                0.88004,                 1.0248,                0.71896,                0.64099,                0.69488,                0.40633,                 1.3242,                 1.0285,                 1.0856,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6095,                0.86024,                  1.024,                0.69681,                0.68594,                0.68602,                0.38861,                 1.3554,                 1.0993,                 1.0817,               0.009703,               0.009703,               0.009703
                     17,                 1.6016,                 0.8523,                 1.0207,                0.73055,                0.65739,                0.69295,                0.39407,                 1.3676,                 0.9928,                 1.0951,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.5778,                 0.8403,                 1.0166,                0.77571,                0.64225,                0.72889,                0.42231,                 1.3382,                0.88659,                 1.0745,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.5823,                0.83505,                 1.0121,                0.73604,                0.65222,                0.70599,                0.40376,                 1.3617,                  1.023,                 1.0826,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.5837,                0.83461,                 1.0115,                0.75284,                0.63878,                0.71356,                0.41863,                  1.344,                0.98519,                 1.0904,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.5654,                0.82613,                 1.0122,                 0.7302,                0.66672,                0.71064,                0.41421,                 1.3299,                 1.1381,                 1.0709,               0.009604,               0.009604,               0.009604
                     22,                 1.5607,                0.81911,                 1.0025,                0.73144,                0.65221,                0.70733,                0.40656,                 1.3619,                0.97277,                  1.104,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5541,                0.81021,                 1.0028,                0.74533,                0.65899,                 0.7221,                0.41078,                 1.3567,                 1.0212,                 1.0878,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5554,                0.80626,                0.99846,                0.74828,                0.66136,                0.72334,                 0.4191,                 1.3612,                0.93146,                 1.0988,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5335,                0.79212,                  1.001,                0.73954,                  0.674,                0.73455,                0.42827,                  1.324,                0.88361,                 1.0811,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5184,                0.78765,                0.98883,                0.73596,                0.68196,                0.72943,                0.42657,                 1.3331,                0.94662,                 1.0839,               0.009505,               0.009505,               0.009505
                     27,                 1.4973,                0.76879,                0.99243,                0.72093,                0.66771,                0.70635,                 0.4135,                  1.343,                0.95729,                 1.0934,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5089,                0.77314,                0.98885,                0.77976,                0.61695,                0.72044,                0.41329,                 1.3704,                 1.0666,                 1.0857,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5147,                  0.775,                0.98202,                0.75646,                 0.6486,                0.71303,                0.41742,                 1.3493,                 1.0047,                  1.082,              0.0094456,              0.0094456,              0.0094456
