               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.109,             0.07524,            0.018226,             0.13312,             0.39343,             0.14405,            0.061119,            0.081236,            0.066495,             0.03385,            0.070333,           0.0032963,           0.0032963
                   1,            0.086721,            0.080086,            0.017376,             0.17382,             0.40281,             0.17473,            0.069987,            0.068964,            0.064636,            0.027698,            0.040327,           0.0066237,           0.0066237
                   2,            0.083803,            0.080188,            0.017153,             0.23644,             0.42916,             0.21095,            0.076994,            0.074486,            0.067781,             0.02403,            0.010315,            0.009945,            0.009945
                   3,            0.082049,            0.083629,            0.016016,             0.33959,             0.38012,             0.32063,             0.12129,            0.068316,            0.068198,            0.019044,            0.009973,            0.009973,            0.009973
                   4,            0.079952,              0.0837,            0.014173,             0.42047,             0.39439,             0.32735,             0.14291,            0.067905,            0.069835,            0.017218,            0.009973,            0.009973,            0.009973
                   5,            0.078602,             0.08122,            0.011477,             0.49818,             0.40914,             0.37768,             0.16099,            0.067262,            0.074689,            0.015085,            0.009964,            0.009964,            0.009964
                   6,            0.078092,            0.080486,           0.0088425,              0.5121,             0.43438,             0.41438,             0.18644,            0.067374,            0.071331,            0.017578,            0.009955,            0.009955,            0.009955
                   7,            0.077347,            0.078166,           0.0066075,             0.52401,             0.41094,              0.3846,              0.1682,            0.070075,            0.072916,            0.013649,            0.009946,            0.009946,            0.009946
                   8,            0.076477,            0.077315,           0.0059909,             0.53578,             0.45707,             0.46842,             0.17603,            0.064506,            0.068274,            0.011444,            0.009937,            0.009937,            0.009937
                   9,             0.07417,            0.078177,           0.0051751,             0.61492,             0.46709,              0.4938,             0.21293,            0.059321,            0.064329,            0.011811,            0.009928,            0.009928,            0.009928
                  10,            0.073603,            0.075639,           0.0043069,             0.53417,             0.50487,             0.47639,             0.20155,            0.062938,            0.061786,            0.011004,            0.009919,            0.009919,            0.009919
                  11,            0.074682,            0.077442,           0.0041936,             0.64564,              0.5158,             0.56333,             0.26978,            0.056582,            0.061854,            0.010187,             0.00991,             0.00991,             0.00991
                  12,            0.073127,            0.076002,           0.0038566,             0.65911,             0.52863,             0.58107,             0.27942,            0.056066,            0.059526,           0.0094526,            0.009901,            0.009901,            0.009901
                  13,            0.072148,             0.07655,           0.0035574,             0.65018,             0.48552,             0.55403,             0.24407,            0.057532,            0.065238,           0.0078749,            0.009892,            0.009892,            0.009892
                  14,            0.071622,            0.073553,           0.0033306,             0.69927,             0.52653,             0.60012,             0.27837,             0.05701,            0.057563,           0.0070073,            0.009883,            0.009883,            0.009883
