                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8391,                 1.5614,                 1.3644,                0.54259,                0.48099,                0.47182,                0.28349,                 1.3243,                 1.5025,                 1.3913,              0.0033227,              0.0033227,              0.0033227
                      2,                 1.6891,                 1.1283,                 1.2454,                0.57934,                0.49609,                0.48111,                0.27744,                 1.3846,                 1.7874,                 1.3912,              0.0066428,              0.0066428,              0.0066428
                      3,                 1.6757,                  1.146,                 1.2245,                 0.5186,                0.52943,                0.46162,                0.27243,                 1.4855,                 3.1616,                 1.4261,              0.0099498,              0.0099498,              0.0099498
                      4,                 1.6967,                  1.158,                 1.2389,                0.58176,                0.52474,                0.52858,                0.30839,                 1.4542,                 2.0804,                 1.4285,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6761,                 1.1098,                 1.2304,                0.67275,                0.52773,                0.55889,                0.32314,                 1.4542,                 1.8214,                 1.4589,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6496,                 1.0855,                 1.2178,                0.62796,                0.54559,                 0.5761,                0.32856,                 1.4664,                  1.515,                 1.4681,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.6399,                 1.0657,                 1.2202,                0.65024,                0.58374,                0.60496,                 0.3534,                 1.4229,                 1.4518,                 1.4273,               0.009901,               0.009901,               0.009901
                      8,                 1.6184,                 1.0381,                 1.2099,                 0.6116,                0.55407,                0.58449,                0.33816,                  1.398,                 1.7114,                 1.4162,              0.0098812,              0.0098812,              0.0098812
                      9,                    1.6,                 1.0139,                 1.1972,                0.66032,                0.56863,                0.59213,                0.34541,                 1.4068,                 1.5011,                 1.4095,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.5953,                  1.004,                 1.2015,                 0.6416,                0.57627,                0.60751,                 0.3615,                 1.3792,                 1.5957,                 1.3977,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.5831,                 0.9789,                 1.1926,                 0.6737,                0.61158,                0.63744,                0.37639,                 1.3603,                 1.3276,                 1.3978,              0.0098218,              0.0098218,              0.0098218
